"(n,q)",Connected,Tor(K_0) cyclic,Rank(K_1) > 0,All cyclic,,2-cyclic,2-Sylow = 0,2-Sylow = Z/2Z,2-Sylow = Z/(2^2Z),2-Sylow = (Z/2Z)^2,2-Sylow = Z/(2^3Z),2-Sylow = (Z/2Z)^3,2-Sylow = Z/(2^4Z),2-Sylow = (Z/2Z)^4,2-Sylow = Z/(2^5Z),2-Sylow = (Z/2Z)^5,2-Sylow = Z/(2^6Z),2-Sylow = (Z/2Z)^6,2-Sylow = Z/(2^7Z),2-Sylow = (Z/2Z)^7,2-Sylow = Z/(2^8Z),2-Sylow = (Z/2Z)^8,2-Sylow = Z/(2^9Z),2-Sylow = (Z/2Z)^9,2-Sylow = Z/(2^10Z),2-Sylow = (Z/2Z)^10,2-Sylow = Z/(2^11Z),2-Sylow = (Z/2Z)^11,2-Sylow = Z/(2^12Z),2-Sylow = (Z/2Z)^12,2-Sylow = Z/(2^13Z),2-Sylow = (Z/2Z)^13,,3-cyclic,3-Sylow = 0,3-Sylow = Z/3Z,3-Sylow = Z/(3^2Z),3-Sylow = (Z/3Z)^2,3-Sylow = Z/(3^3Z),3-Sylow = (Z/3Z)^3,3-Sylow = Z/(3^4Z),3-Sylow = (Z/3Z)^4,3-Sylow = Z/(3^5Z),3-Sylow = (Z/3Z)^5,3-Sylow = Z/(3^6Z),3-Sylow = (Z/3Z)^6,3-Sylow = Z/(3^7Z),3-Sylow = (Z/3Z)^7,3-Sylow = Z/(3^8Z),3-Sylow = (Z/3Z)^8,,5-cyclic,5-Sylow = 0,5-Sylow = Z/5Z,5-Sylow = Z/(5^2Z),5-Sylow = (Z/5Z)^2,5-Sylow = Z/(5^3Z),5-Sylow = (Z/5Z)^3,5-Sylow = Z/(5^4Z),5-Sylow = (Z/5Z)^4,5-Sylow = Z/(5^5Z),5-Sylow = (Z/5Z)^5,,7-cyclic,7-Sylow = 0,7-Sylow = Z/7Z,7-Sylow = Z/(7^2Z),7-Sylow = (Z/7Z)^2,7-Sylow = Z/(7^3Z),7-Sylow = (Z/7Z)^3,7-Sylow = Z/(7^4Z),7-Sylow = (Z/7Z)^4,,11-cyclic,11-Sylow = 0,11-Sylow = Z/11Z,11-Sylow = Z/(11^2Z),11-Sylow = (Z/11Z)^2,11-Sylow = Z/(11^3Z),11-Sylow = (Z/11Z)^3,,13-cyclic,13-Sylow = 0,13-Sylow = Z/13Z,13-Sylow = Z/(13^2Z),13-Sylow = (Z/13Z)^2,13-Sylow = Z/(13^3Z),13-Sylow = (Z/13Z)^3,,17-cyclic,17-Sylow = 0,17-Sylow = Z/17Z,17-Sylow = Z/(17^2Z),17-Sylow = (Z/17Z)^2,17-Sylow = Z/(17^3Z),17-Sylow = (Z/17Z)^3,,19-cyclic,19-Sylow = 0,19-Sylow = Z/19Z,19-Sylow = Z/(19^2Z),19-Sylow = (Z/19Z)^2,19-Sylow = Z/(19^3Z),19-Sylow = (Z/19Z)^3,,23-cyclic,23-Sylow = 0,23-Sylow = Z/23Z,23-Sylow = Z/(23^2Z),23-Sylow = (Z/23Z)^2,,29-cyclic,29-Sylow = 0,29-Sylow = Z/29Z,29-Sylow = Z/(29^2Z),29-Sylow = (Z/29Z)^2,,31-cyclic,31-Sylow = 0,31-Sylow = Z/31Z,31-Sylow = Z/(31^2Z),31-Sylow = (Z/31Z)^2,,37-cyclic,37-Sylow = 0,37-Sylow = Z/37Z,37-Sylow = Z/(37^2Z),37-Sylow = (Z/37Z)^2,,137-cyclic,137-Sylow = 0,137-Sylow = Z/137Z,,277-cyclic,277-Sylow = 0,277-Sylow = Z/277Z
"(∞,q)",m−O(1/n),0.84693,m(√ (1−ε) + o(1))ⁿ,,,0.86636,0.28879,0.28879,0.14439,0.04813,0.07220,0.00172,0.03610,0.00001,0.01805,0.00000,0.00902,0.00000,0.00451,0.00000,0.00226,0.00000,0.00113,0.00000,0.00056,0.00000,0.00028,0.00000,0.00014,0.00000,0.00007,0.00000,,0.98022,0.56013,0.28006,0.09335,0.01167,0.03112,0.00005,0.01037,0.00000,0.00346,0.00000,0.00115,0.00000,0.00038,0.00000,0.00013,0.00000,,0.99794,0.76033,0.19008,0.03802,0.00158,0.00760,0.00000,0.00152,0.00000,0.00030,0.00000,,0.99951,0.83680,0.13947,0.01992,0.00042,0.00285,0.00000,0.00041,0.00000,,0.99992,0.90083,0.09008,0.00819,0.00007,0.00074,0.00000,,0.99996,0.91716,0.07643,0.00588,0.00003,0.00045,0.00000,,0.99999,0.93772,0.05861,0.00345,0.00001,0.00020,0.00000,,0.99999,0.94460,0.05248,0.00276,0.00001,0.00015,0.00000,,1.00000,0.95463,0.04339,0.00189,0.00000,,1.00000,0.96433,0.03444,0.00119,0.00000,,1.00000,0.96670,0.03222,0.00104,0.00000,,1.00000,0.97224,0.02701,0.00073,0.00000,,1.00000,0.99265,0.00730,,1.00000,0.99638,0.00361
"(50, 1/4)",99994,84756,0,0.84771,,86679,28663,28753,14625,4863,7234,166,3705,1,1843,0,937,0,447,0,249,0,115,0,37,0,29,0,19,0,8,0,,98057,55893,28013,9409,1186,3181,5,1028,0,351,0,119,0,46,0,11,0,,99793,76169,18946,3712,147,756,0,175,0,27,0,,99955,83657,13919,2028,35,302,0,45,0,,99994,90039,9066,808,6,78,0,,99998,91682,7662,609,2,39,0,,99999,93781,5882,316,1,18,0,,99999,94416,5306,260,1,17,0,,99999,95509,4307,179,1,,99999,96430,3452,115,1,,100000,96660,3217,118,0,,100000,97233,2696,70,0,,100000,99296,699,,100000,99664,336
,"[0.9999, 1.0000]","[0.8446, 0.8505]","[0.0000, 0.0000]",,,"[0.8640, 0.8696]","[0.2829, 0.2903]","[0.2838, 0.2912]","[0.1434, 0.1491]","[0.0469, 0.0504]","[0.0702, 0.0745]","[0.0013, 0.0020]","[0.0355, 0.0386]","[-0.0000, 0.0000]","[0.0173, 0.0195]","[0.0000, 0.0000]","[0.0086, 0.0102]","[0.0000, 0.0000]","[0.0039, 0.0050]","[0.0000, 0.0000]","[0.0021, 0.0029]","[0.0000, 0.0000]","[0.0009, 0.0014]","[0.0000, 0.0000]","[0.0002, 0.0005]","[0.0000, 0.0000]","[0.0002, 0.0004]","[0.0000, 0.0000]","[0.0001, 0.0003]","[0.0000, 0.0000]","[0.0000, 0.0002]","[0.0000, 0.0000]",,"[0.9794, 0.9817]","[0.5549, 0.5630]","[0.2765, 0.2838]","[0.0917, 0.0965]","[0.0110, 0.0127]","[0.0304, 0.0332]","[-0.0000, 0.0001]","[0.0095, 0.0111]","[0.0000, 0.0000]","[0.0030, 0.0040]","[0.0000, 0.0000]","[0.0009, 0.0015]","[0.0000, 0.0000]","[0.0003, 0.0006]","[0.0000, 0.0000]","[0.0000, 0.0002]","[0.0000, 0.0000]",,"[0.9976, 0.9983]","[0.7582, 0.7652]","[0.1863, 0.1927]","[0.0356, 0.0387]","[0.0012, 0.0018]","[0.0069, 0.0083]","[0.0000, 0.0000]","[0.0014, 0.0021]","[0.0000, 0.0000]","[0.0001, 0.0004]","[0.0000, 0.0000]",,"[0.9994, 0.9997]","[0.8336, 0.8396]","[0.1364, 0.1420]","[0.0191, 0.0214]","[0.0002, 0.0005]","[0.0026, 0.0035]","[0.0000, 0.0000]","[0.0003, 0.0006]","[0.0000, 0.0000]",,"[0.9999, 1.0000]","[0.8980, 0.9028]","[0.0883, 0.0930]","[0.0074, 0.0088]","[-0.0000, 0.0001]","[0.0006, 0.0010]","[0.0000, 0.0000]",,"[0.9999, 1.0000]","[0.9146, 0.9191]","[0.0745, 0.0788]","[0.0055, 0.0067]","[-0.0000, 0.0001]","[0.0002, 0.0006]","[0.0000, 0.0000]",,"[1.0000, 1.0000]","[0.9358, 0.9398]","[0.0569, 0.0607]","[0.0027, 0.0036]","[-0.0000, 0.0000]","[0.0001, 0.0003]","[0.0000, 0.0000]",,"[1.0000, 1.0000]","[0.9423, 0.9460]","[0.0512, 0.0549]","[0.0022, 0.0030]","[-0.0000, 0.0000]","[0.0001, 0.0003]","[0.0000, 0.0000]",,"[1.0000, 1.0000]","[0.9534, 0.9568]","[0.0414, 0.0447]","[0.0014, 0.0021]","[-0.0000, 0.0000]",,"[1.0000, 1.0000]","[0.9628, 0.9658]","[0.0330, 0.0360]","[0.0009, 0.0014]","[-0.0000, 0.0000]",,"[1.0000, 1.0000]","[0.9651, 0.9681]","[0.0307, 0.0336]","[0.0009, 0.0015]","[0.0000, 0.0000]",,"[1.0000, 1.0000]","[0.9710, 0.9737]","[0.0256, 0.0283]","[0.0005, 0.0009]","[0.0000, 0.0000]",,"[1.0000, 1.0000]","[0.9923, 0.9936]","[0.0063, 0.0077]",,"[1.0000, 1.0000]","[0.9962, 0.9971]","[0.0029, 0.0038]"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(100, 1/4)",100000,84586,0,0.84608,,86570,29007,28687,14705,4746,7186,169,3546,2,1745,0,856,0,421,0,196,0,96,0,59,0,29,0,20,0,11,0,,97982,55863,28061,9374,1212,3086,4,1052,0,371,0,120,0,39,0,12,0,,99805,76173,18967,3708,150,776,0,133,0,40,0,,99958,83785,13797,2007,37,312,0,48,0,,99990,89986,9063,844,9,88,0,,99998,91545,7806,601,2,43,0,,99997,93658,6004,318,3,16,0,,99998,94468,5217,296,2,16,0,,100000,95415,4364,214,0,,100000,96457,3412,129,0,,100000,96684,3213,99,0,,100000,97209,2695,93,0,,100000,99281,715,,100000,99670,326
,"[1.0000, 1.0000]","[0.8429, 0.8488]","[0.0000, 0.0000]",,,"[0.8629, 0.8685]","[0.2864, 0.2938]","[0.2832, 0.2906]","[0.1442, 0.1499]","[0.0457, 0.0492]","[0.0698, 0.0740]","[0.0014, 0.0020]","[0.0340, 0.0370]","[-0.0000, 0.0001]","[0.0164, 0.0185]","[0.0000, 0.0000]","[0.0078, 0.0093]","[0.0000, 0.0000]","[0.0037, 0.0047]","[0.0000, 0.0000]","[0.0016, 0.0023]","[0.0000, 0.0000]","[0.0007, 0.0012]","[0.0000, 0.0000]","[0.0004, 0.0008]","[0.0000, 0.0000]","[0.0002, 0.0004]","[0.0000, 0.0000]","[0.0001, 0.0003]","[0.0000, 0.0000]","[0.0000, 0.0002]","[0.0000, 0.0000]",,"[0.9787, 0.9810]","[0.5546, 0.5627]","[0.2770, 0.2843]","[0.0914, 0.0961]","[0.0112, 0.0130]","[0.0295, 0.0323]","[-0.0000, 0.0001]","[0.0097, 0.0114]","[0.0000, 0.0000]","[0.0032, 0.0042]","[0.0000, 0.0000]","[0.0009, 0.0015]","[0.0000, 0.0000]","[0.0002, 0.0006]","[0.0000, 0.0000]","[0.0000, 0.0002]","[0.0000, 0.0000]",,"[0.9977, 0.9984]","[0.7583, 0.7652]","[0.1865, 0.1929]","[0.0355, 0.0386]","[0.0012, 0.0018]","[0.0070, 0.0085]","[0.0000, 0.0000]","[0.0010, 0.0016]","[0.0000, 0.0000]","[0.0002, 0.0006]","[0.0000, 0.0000]",,"[0.9994, 0.9997]","[0.8348, 0.8409]","[0.1352, 0.1408]","[0.0189, 0.0212]","[0.0002, 0.0005]","[0.0027, 0.0036]","[0.0000, 0.0000]","[0.0003, 0.0007]","[0.0000, 0.0000]",,"[0.9998, 1.0000]","[0.8974, 0.9023]","[0.0883, 0.0930]","[0.0077, 0.0092]","[0.0000, 0.0002]","[0.0006, 0.0011]","[0.0000, 0.0000]",,"[0.9999, 1.0000]","[0.9132, 0.9177]","[0.0759, 0.0802]","[0.0054, 0.0066]","[-0.0000, 0.0001]","[0.0003, 0.0006]","[0.0000, 0.0000]",,"[0.9999, 1.0000]","[0.9346, 0.9386]","[0.0581, 0.0620]","[0.0027, 0.0036]","[-0.0000, 0.0001]","[0.0001, 0.0003]","[0.0000, 0.0000]",,"[0.9999, 1.0000]","[0.9428, 0.9465]","[0.0504, 0.0540]","[0.0025, 0.0034]","[-0.0000, 0.0001]","[0.0001, 0.0003]","[0.0000, 0.0000]",,"[1.0000, 1.0000]","[0.9524, 0.9559]","[0.0420, 0.0453]","[0.0018, 0.0025]","[0.0000, 0.0000]",,"[1.0000, 1.0000]","[0.9631, 0.9661]","[0.0326, 0.0356]","[0.0010, 0.0016]","[0.0000, 0.0000]",,"[1.0000, 1.0000]","[0.9654, 0.9683]","[0.0307, 0.0336]","[0.0007, 0.0012]","[0.0000, 0.0000]",,"[1.0000, 1.0000]","[0.9707, 0.9734]","[0.0256, 0.0283]","[0.0007, 0.0012]","[0.0000, 0.0000]",,"[1.0000, 1.0000]","[0.9921, 0.9935]","[0.0065, 0.0078]",,"[1.0000, 1.0000]","[0.9962, 0.9972]","[0.0028, 0.0037]"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(50, 1/3)",100000,84597,0,0.84601,,86598,28655,29219,14404,4842,7150,177,3528,0,1817,0,913,0,469,0,241,0,89,0,52,0,35,0,12,0,7,0,,97975,55881,28029,9460,1202,3075,2,1043,0,329,0,103,0,33,0,12,0,,99784,75715,19196,3880,167,814,0,133,0,40,0,,99950,83687,13966,1984,42,270,0,33,0,,99986,90143,8948,806,13,81,0,,99997,91917,7426,607,2,42,0,,99998,93701,5914,366,2,15,0,,99999,94323,5387,277,1,11,0,,100000,95494,4310,193,0,,100000,96390,3493,116,0,,100000,96638,3244,113,0,,99999,97188,2730,77,1,,100000,99251,740,,100000,99625,374
,"[1.0000, 1.0000]","[0.8430, 0.8489]","[0.0000, 0.0000]",,,"[0.8632, 0.8688]","[0.2829, 0.2902]","[0.2885, 0.2959]","[0.1412, 0.1469]","[0.0467, 0.0502]","[0.0694, 0.0736]","[0.0014, 0.0021]","[0.0338, 0.0368]","[0.0000, 0.0000]","[0.0171, 0.0193]","[0.0000, 0.0000]","[0.0084, 0.0099]","[0.0000, 0.0000]","[0.0041, 0.0052]","[0.0000, 0.0000]","[0.0020, 0.0028]","[0.0000, 0.0000]","[0.0006, 0.0011]","[0.0000, 0.0000]","[0.0003, 0.0007]","[0.0000, 0.0000]","[0.0002, 0.0005]","[0.0000, 0.0000]","[0.0000, 0.0002]","[0.0000, 0.0000]","[0.0000, 0.0001]","[0.0000, 0.0000]",,"[0.9786, 0.9809]","[0.5548, 0.5629]","[0.2766, 0.2839]","[0.0922, 0.0970]","[0.0111, 0.0129]","[0.0293, 0.0322]","[-0.0000, 0.0001]","[0.0096, 0.0113]","[0.0000, 0.0000]","[0.0028, 0.0038]","[0.0000, 0.0000]","[0.0008, 0.0013]","[0.0000, 0.0000]","[0.0002, 0.0005]","[0.0000, 0.0000]","[0.0000, 0.0002]","[0.0000, 0.0000]",,"[0.9975, 0.9982]","[0.7537, 0.7606]","[0.1888, 0.1952]","[0.0372, 0.0404]","[0.0013, 0.0020]","[0.0074, 0.0089]","[0.0000, 0.0000]","[0.0010, 0.0016]","[0.0000, 0.0000]","[0.0002, 0.0006]","[0.0000, 0.0000]",,"[0.9993, 0.9997]","[0.8339, 0.8399]","[0.1368, 0.1425]","[0.0187, 0.0210]","[0.0003, 0.0006]","[0.0023, 0.0031]","[0.0000, 0.0000]","[0.0002, 0.0005]","[0.0000, 0.0000]",,"[0.9998, 1.0000]","[0.8990, 0.9039]","[0.0872, 0.0918]","[0.0073, 0.0088]","[0.0000, 0.0002]","[0.0006, 0.0010]","[0.0000, 0.0000]",,"[0.9999, 1.0000]","[0.9169, 0.9214]","[0.0721, 0.0764]","[0.0054, 0.0067]","[-0.0000, 0.0001]","[0.0003, 0.0006]","[0.0000, 0.0000]",,"[0.9999, 1.0000]","[0.9350, 0.9390]","[0.0572, 0.0611]","[0.0032, 0.0042]","[-0.0000, 0.0001]","[0.0001, 0.0002]","[0.0000, 0.0000]",,"[1.0000, 1.0000]","[0.9413, 0.9451]","[0.0520, 0.0557]","[0.0023, 0.0032]","[-0.0000, 0.0000]","[0.0000, 0.0002]","[0.0000, 0.0000]",,"[1.0000, 1.0000]","[0.9533, 0.9566]","[0.0414, 0.0448]","[0.0016, 0.0023]","[0.0000, 0.0000]",,"[1.0000, 1.0000]","[0.9624, 0.9654]","[0.0334, 0.0364]","[0.0009, 0.0014]","[0.0000, 0.0000]",,"[1.0000, 1.0000]","[0.9649, 0.9678]","[0.0310, 0.0339]","[0.0009, 0.0014]","[0.0000, 0.0000]",,"[1.0000, 1.0000]","[0.9705, 0.9732]","[0.0260, 0.0286]","[0.0005, 0.0010]","[-0.0000, 0.0000]",,"[1.0000, 1.0000]","[0.9918, 0.9932]","[0.0067, 0.0081]",,"[1.0000, 1.0000]","[0.9958, 0.9967]","[0.0032, 0.0042]"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
