"(n,r)",Connected,Rank(K_1),Tor(K_0),Det,Full Shift,Exact,Cuntz
"(∞,r)",m−O(1/n),o(1),0.39676,,,0.00000,0.00000
"(50,3)",98948,599,36426,54553,20003,0,0
,"[0.9886, 0.9903]","[0.0054, 0.0066]","[0.3603, 0.3682]","[0.5415, 0.5496]","[0.1968, 0.2033]","[0.0000, 0.0000]","[0.0000, 0.0000]"
,,,,,,,
"(100,3)",99495,65,38335,55987,21448,0,0
,"[0.9944, 0.9955]","[0.0004, 0.0009]","[0.3794, 0.3873]","[0.5558, 0.5639]","[0.2111, 0.2178]","[0.0000, 0.0000]","[0.0000, 0.0000]"
,,,,,,,
"(50,4)",99976,3,26021,37813,9724,0,0
,"[0.9996, 0.9999]","[-0.0000, 0.0001]","[0.2566, 0.2638]","[0.3742, 0.3821]","[0.0948, 0.0997]","[0.0000, 0.0000]","[0.0000, 0.0000]"
,,,,,,,
"(100,4)",99989,0,26361,41056,10832,0,0
,"[0.9998, 1.0000]","[0.0000, 0.0000]","[0.2600, 0.2672]","[0.4066, 0.4146]","[0.1058, 0.1109]","[0.0000, 0.0000]","[0.0000, 0.0000]"
,,,,,,,
"(50,5)",100000,0,39582,48951,19477,0,0
,"[1.0000, 1.0000]","[0.0000, 0.0000]","[0.3918, 0.3998]","[0.4854, 0.4936]","[0.1915, 0.1980]","[0.0000, 0.0000]","[0.0000, 0.0000]"
,,,,,,,
"(100,5)",100000,0,39611,58341,23108,0,0
,"[1.0000, 1.0000]","[0.0000, 0.0000]","[0.3921, 0.4001]","[0.5794, 0.5874]","[0.2276, 0.2345]","[0.0000, 0.0000]","[0.0000, 0.0000]"
,,,,,,,
"(50,6)",100000,0,31707,60460,19177,0,0
,"[1.0000, 1.0000]","[0.0000, 0.0000]","[0.3133, 0.3209]","[0.6006, 0.6086]","[0.1886, 0.1950]","[0.0000, 0.0000]","[0.0000, 0.0000]"
,,,,,,,
"(100,6)",100000,0,31373,41669,13153,0,0
,"[1.0000, 1.0000]","[0.0000, 0.0000]","[0.3100, 0.3175]","[0.4127, 0.4207]","[0.1288, 0.1343]","[0.0000, 0.0000]","[0.0000, 0.0000]"
,,,,,,,
"(50,7)",100000,0,26406,60128,15835,0,0
,"[1.0000, 1.0000]","[0.0000, 0.0000]","[0.2605, 0.2677]","[0.5973, 0.6053]","[0.1554, 0.1613]","[0.0000, 0.0000]","[0.0000, 0.0000]"
,,,,,,,
"(100,7)",100000,0,26325,52379,13864,0,0
,"[1.0000, 1.0000]","[0.0000, 0.0000]","[0.2597, 0.2668]","[0.5197, 0.5279]","[0.1358, 0.1415]","[0.0000, 0.0000]","[0.0000, 0.0000]"
,,,,,,,
"(50,8)",100000,0,34175,53476,18350,0,0
,"[1.0000, 1.0000]","[0.0000, 0.0000]","[0.3379, 0.3456]","[0.5307, 0.5388]","[0.1803, 0.1867]","[0.0000, 0.0000]","[0.0000, 0.0000]"
,,,,,,,
"(100,8)",100000,0,34067,57153,19529,0,0
,"[1.0000, 1.0000]","[0.0000, 0.0000]","[0.3368, 0.3445]","[0.5675, 0.5756]","[0.1921, 0.1985]","[0.0000, 0.0000]","[0.0000, 0.0000]"
,,,,,,,
"(50,9)",100000,0,39651,46283,18400,0,0
,"[1.0000, 1.0000]","[0.0000, 0.0000]","[0.3925, 0.4005]","[0.4588, 0.4669]","[0.1808, 0.1872]","[0.0000, 0.0000]","[0.0000, 0.0000]"
,,,,,,,
"(100,9)",100000,0,39401,47150,18616,0,0
,"[1.0000, 1.0000]","[0.0000, 0.0000]","[0.3900, 0.3980]","[0.4674, 0.4756]","[0.1830, 0.1893]","[0.0000, 0.0000]","[0.0000, 0.0000]"
,,,,,,,
