"(n,r)",Connected,Tor(K_0) cyclic,Rank(K_1) > 0,All cyclic,,2-cyclic,2-Sylow = 0,2-Sylow = Z/2Z,2-Sylow = Z/(2^2Z),2-Sylow = (Z/2Z)^2,2-Sylow = Z/(2^3Z),2-Sylow = (Z/2Z)^3,2-Sylow = Z/(2^4Z),2-Sylow = (Z/2Z)^4,2-Sylow = Z/(2^5Z),2-Sylow = (Z/2Z)^5,2-Sylow = Z/(2^6Z),2-Sylow = (Z/2Z)^6,2-Sylow = Z/(2^7Z),2-Sylow = (Z/2Z)^7,2-Sylow = Z/(2^8Z),2-Sylow = (Z/2Z)^8,2-Sylow = Z/(2^9Z),2-Sylow = (Z/2Z)^9,2-Sylow = Z/(2^10Z),2-Sylow = (Z/2Z)^10,2-Sylow = Z/(2^11Z),2-Sylow = (Z/2Z)^11,2-Sylow = Z/(2^12Z),2-Sylow = (Z/2Z)^12,2-Sylow = Z/(2^13Z),2-Sylow = (Z/2Z)^13,2-Sylow = Z/(2^14Z),2-Sylow = (Z/2Z)^14,,3-cyclic,3-Sylow = 0,3-Sylow = Z/3Z,3-Sylow = Z/(3^2Z),3-Sylow = (Z/3Z)^2,3-Sylow = Z/(3^3Z),3-Sylow = (Z/3Z)^3,3-Sylow = Z/(3^4Z),3-Sylow = (Z/3Z)^4,3-Sylow = Z/(3^5Z),3-Sylow = (Z/3Z)^5,3-Sylow = Z/(3^6Z),3-Sylow = (Z/3Z)^6,3-Sylow = Z/(3^7Z),3-Sylow = (Z/3Z)^7,3-Sylow = Z/(3^8Z),3-Sylow = (Z/3Z)^8,3-Sylow = Z/(3^9Z),3-Sylow = (Z/3Z)^9,,5-cyclic,5-Sylow = 0,5-Sylow = Z/5Z,5-Sylow = Z/(5^2Z),5-Sylow = (Z/5Z)^2,5-Sylow = Z/(5^3Z),5-Sylow = (Z/5Z)^3,5-Sylow = Z/(5^4Z),5-Sylow = (Z/5Z)^4,5-Sylow = Z/(5^5Z),5-Sylow = (Z/5Z)^5,5-Sylow = Z/(5^6Z),5-Sylow = (Z/5Z)^6,,7-cyclic,7-Sylow = 0,7-Sylow = Z/7Z,7-Sylow = Z/(7^2Z),7-Sylow = (Z/7Z)^2,7-Sylow = Z/(7^3Z),7-Sylow = (Z/7Z)^3,7-Sylow = Z/(7^4Z),7-Sylow = (Z/7Z)^4,7-Sylow = Z/(7^5Z),7-Sylow = (Z/7Z)^5,,11-cyclic,11-Sylow = 0,11-Sylow = Z/11Z,11-Sylow = Z/(11^2Z),11-Sylow = (Z/11Z)^2,11-Sylow = Z/(11^3Z),11-Sylow = (Z/11Z)^3,11-Sylow = Z/(11^4Z),11-Sylow = (Z/11Z)^4,,13-cyclic,13-Sylow = 0,13-Sylow = Z/13Z,13-Sylow = Z/(13^2Z),13-Sylow = (Z/13Z)^2,13-Sylow = Z/(13^3Z),13-Sylow = (Z/13Z)^3,,17-cyclic,17-Sylow = 0,17-Sylow = Z/17Z,17-Sylow = Z/(17^2Z),17-Sylow = (Z/17Z)^2,17-Sylow = Z/(17^3Z),17-Sylow = (Z/17Z)^3,,19-cyclic,19-Sylow = 0,19-Sylow = Z/19Z,19-Sylow = Z/(19^2Z),19-Sylow = (Z/19Z)^2,19-Sylow = Z/(19^3Z),19-Sylow = (Z/19Z)^3,,23-cyclic,23-Sylow = 0,23-Sylow = Z/23Z,23-Sylow = Z/(23^2Z),23-Sylow = (Z/23Z)^2,23-Sylow = Z/(23^3Z),23-Sylow = (Z/23Z)^3,,29-cyclic,29-Sylow = 0,29-Sylow = Z/29Z,29-Sylow = Z/(29^2Z),29-Sylow = (Z/29Z)^2,,31-cyclic,31-Sylow = 0,31-Sylow = Z/31Z,31-Sylow = Z/(31^2Z),31-Sylow = (Z/31Z)^2,,37-cyclic,37-Sylow = 0,37-Sylow = Z/37Z,37-Sylow = Z/(37^2Z),37-Sylow = (Z/37Z)^2,,137-cyclic,137-Sylow = 0,137-Sylow = Z/137Z,137-Sylow = Z/(137^2Z),137-Sylow = (Z/137Z)^2,,277-cyclic,277-Sylow = 0,277-Sylow = Z/277Z
"(∞,r)",m−O(1/n),0.39676,o(1),,,0.41942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.95851,0.63900,0.21300,0.07100,0.02663,0.02367,0.00099,0.00789,0.00001,0.00263,0.00000,0.00088,0.00000,0.00029,0.00000,0.00010,0.00000,0.00003,0.00000,,0.99167,0.79334,0.15867,0.03173,0.00661,0.00635,0.00005,0.00127,0.00000,0.00025,0.00000,0.00005,0.00000,,0.99702,0.85459,0.12208,0.01744,0.00254,0.00249,0.00001,0.00036,0.00000,0.00005,0.00000,,0.99924,0.90840,0.08258,0.00751,0.00069,0.00068,0.00000,0.00006,0.00000,,0.99954,0.92265,0.07097,0.00546,0.00042,0.00042,0.00000,,0.99980,0.94098,0.05535,0.00326,0.00019,0.00019,0.00000,,0.99985,0.94723,0.04985,0.00262,0.00014,0.00014,0.00000,,0.99992,0.95644,0.04158,0.00181,0.00008,0.00008,0.00000,,0.99996,0.96548,0.03329,0.00115,0.00004,,0.99997,0.96771,0.03122,0.00101,0.00003,,0.99998,0.97295,0.02630,0.00071,0.00002,,1.00000,0.99270,0.00725,0.00005,0.00000,,1.00000,0.99639,0.00360
"(10,3)",92292,57791,49154,0.56148,,57791,21406,0,14413,3173,19386,0,2586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,97538,81909,12265,3364,2462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,100000,89744,10256,0,0,0,0,0,0,0,0,0,0,,99610,96427,3183,0,390,0,0,0,0,0,0,,100000,98711,1289,0,0,0,0,0,0,,100000,100000,0,0,0,0,0,,100000,100000,0,0,0,0,0,,100000,100000,0,0,0,0,0,,100000,100000,0,0,0,0,0,,100000,100000,0,0,0,,100000,100000,0,0,0,,100000,100000,0,0,0,,100000,100000,0,0,0,,100000,100000,0
,"[0.9207, 0.9251]","[0.5739, 0.5819]","[0.4875, 0.4956]",,,"[0.5739, 0.5819]","[0.2107, 0.2174]","[0.0000, 0.0000]","[0.1413, 0.1470]","[0.0303, 0.0332]","[0.1906, 0.1971]","[0.0000, 0.0000]","[0.0246, 0.0272]","[0.0000, 0.0000]","[0.0000, 0.0000]","[0.0000, 0.0000]","[0.0000, 0.0000]","[0.0000, 0.0000]","[0.0000, 0.0000]","[0.0000, 0.0000]","[0.0000, 0.0000]","[0.0000, 0.0000]","[0.0000, 0.0000]","[0.0000, 0.0000]","[0.0000, 0.0000]","[0.0000, 0.0000]","[0.0000, 0.0000]","[0.0000, 0.0000]","[0.0000, 0.0000]","[0.0000, 0.0000]","[0.0000, 0.0000]","[0.0000, 0.0000]","[0.0000, 0.0000]","[0.0000, 0.0000]",,"[0.9741, 0.9766]","[0.8160, 0.8222]","[0.1200, 0.1253]","[0.0322, 0.0351]","[0.0234, 0.0259]","[0.0000, 0.0000]","[0.0000, 0.0000]","[0.0000, 0.0000]","[0.0000, 0.0000]","[0.0000, 0.0000]","[0.0000, 0.0000]","[0.0000, 0.0000]","[0.0000, 0.0000]","[0.0000, 0.0000]","[0.0000, 0.0000]","[0.0000, 0.0000]","[0.0000, 0.0000]","[0.0000, 0.0000]","[0.0000, 0.0000]",,"[1.0000, 1.0000]","[0.8950, 0.8999]","[0.1001, 0.1050]","[0.0000, 0.0000]","[0.0000, 0.0000]","[0.0000, 0.0000]","[0.0000, 0.0000]","[0.0000, 0.0000]","[0.0000, 0.0000]","[0.0000, 0.0000]","[0.0000, 0.0000]","[0.0000, 0.0000]","[0.0000, 0.0000]",,"[0.9956, 0.9966]","[0.9628, 0.9658]","[0.0304, 0.0333]","[0.0000, 0.0000]","[0.0034, 0.0044]","[0.0000, 0.0000]","[0.0000, 0.0000]","[0.0000, 0.0000]","[0.0000, 0.0000]","[0.0000, 0.0000]","[0.0000, 0.0000]",,"[1.0000, 1.0000]","[0.9862, 0.9880]","[0.0120, 0.0138]","[0.0000, 0.0000]","[0.0000, 0.0000]","[0.0000, 0.0000]","[0.0000, 0.0000]","[0.0000, 0.0000]","[0.0000, 0.0000]",,"[1.0000, 1.0000]","[1.0000, 1.0000]","[0.0000, 0.0000]","[0.0000, 0.0000]","[0.0000, 0.0000]","[0.0000, 0.0000]","[0.0000, 0.0000]",,"[1.0000, 1.0000]","[1.0000, 1.0000]","[0.0000, 0.0000]","[0.0000, 0.0000]","[0.0000, 0.0000]","[0.0000, 0.0000]","[0.0000, 0.0000]",,"[1.0000, 1.0000]","[1.0000, 1.0000]","[0.0000, 0.0000]","[0.0000, 0.0000]","[0.0000, 0.0000]","[0.0000, 0.0000]","[0.0000, 0.0000]",,"[1.0000, 1.0000]","[1.0000, 1.0000]","[0.0000, 0.0000]","[0.0000, 0.0000]","[0.0000, 0.0000]","[0.0000, 0.0000]","[0.0000, 0.0000]",,"[1.0000, 1.0000]","[1.0000, 1.0000]","[0.0000, 0.0000]","[0.0000, 0.0000]","[0.0000, 0.0000]",,"[1.0000, 1.0000]","[1.0000, 1.0000]","[0.0000, 0.0000]","[0.0000, 0.0000]","[0.0000, 0.0000]",,"[1.0000, 1.0000]","[1.0000, 1.0000]","[0.0000, 0.0000]","[0.0000, 0.0000]","[0.0000, 0.0000]",,"[1.0000, 1.0000]","[1.0000, 1.0000]","[0.0000, 0.0000]","[0.0000, 0.0000]","[0.0000, 0.0000]",,"[1.0000, 1.0000]","[1.0000, 1.0000]","[0.0000, 0.0000]"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(20,3)",96829,38347,10556,0.38926,,41415,1417,2132,35903,194,1391,187,353,0,169,3,29,0,19,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,94766,69818,15734,7793,4267,790,67,617,11,9,0,5,0,0,0,0,0,0,0,,99398,85720,10330,3267,585,71,2,10,0,0,0,0,0,,99831,91217,7048,1561,169,5,0,0,0,0,0,,99967,95278,4276,413,33,0,0,0,0,,99992,95988,3757,247,8,0,0,,99993,97554,2351,88,7,0,0,,99998,98041,1894,63,2,0,0,,100000,98430,1552,18,0,0,0,,100000,98967,1025,8,0,,100000,99082,916,2,0,,100000,99115,881,4,0,,100000,99916,84,0,0,,100000,99978,22
,"[0.9669, 0.9697]","[0.3795, 0.3874]","[0.1031, 0.1081]",,,"[0.4101, 0.4182]","[0.0132, 0.0151]","[0.0201, 0.0225]","[0.3551, 0.3629]","[0.0016, 0.0023]","[0.0130, 0.0149]","[0.0015, 0.0022]","[0.0030, 0.0040]","[0.0000, 0.0000]","[0.0014, 0.0020]","[-0.0000, 0.0001]","[0.0002, 0.0004]","[0.0000, 0.0000]","[0.0001, 0.0003]","[0.0000, 0.0000]","[-0.0000, 0.0001]","[0.0000, 0.0000]","[0.0000, 0.0000]","[0.0000, 0.0000]","[0.0000, 0.0000]","[0.0000, 0.0000]","[0.0000, 0.0000]","[0.0000, 0.0000]","[0.0000, 0.0000]","[0.0000, 0.0000]","[0.0000, 0.0000]","[0.0000, 0.0000]","[0.0000, 0.0000]","[0.0000, 0.0000]",,"[0.9458, 0.9495]","[0.6944, 0.7019]","[0.1544, 0.1603]","[0.0757, 0.0801]","[0.0410, 0.0443]","[0.0072, 0.0086]","[0.0005, 0.0009]","[0.0055, 0.0068]","[0.0000, 0.0002]","[0.0000, 0.0002]","[0.0000, 0.0000]","[-0.0000, 0.0001]","[0.0000, 0.0000]","[0.0000, 0.0000]","[0.0000, 0.0000]","[0.0000, 0.0000]","[0.0000, 0.0000]","[0.0000, 0.0000]","[0.0000, 0.0000]",,"[0.9933, 0.9946]","[0.8544, 0.8600]","[0.1008, 0.1058]","[0.0312, 0.0341]","[0.0052, 0.0065]","[0.0005, 0.0009]","[-0.0000, 0.0001]","[0.0000, 0.0002]","[0.0000, 0.0000]","[0.0000, 0.0000]","[0.0000, 0.0000]","[0.0000, 0.0000]","[0.0000, 0.0000]",,"[0.9980, 0.9986]","[0.9099, 0.9145]","[0.0684, 0.0726]","[0.0146, 0.0166]","[0.0014, 0.0020]","[-0.0000, 0.0001]","[0.0000, 0.0000]","[0.0000, 0.0000]","[0.0000, 0.0000]","[0.0000, 0.0000]","[0.0000, 0.0000]",,"[0.9995, 0.9998]","[0.9511, 0.9545]","[0.0411, 0.0444]","[0.0036, 0.0047]","[0.0002, 0.0005]","[0.0000, 0.0000]","[0.0000, 0.0000]","[0.0000, 0.0000]","[0.0000, 0.0000]",,"[0.9998, 1.0000]","[0.9583, 0.9615]","[0.0360, 0.0391]","[0.0021, 0.0029]","[0.0000, 0.0002]","[0.0000, 0.0000]","[0.0000, 0.0000]",,"[0.9999, 1.0000]","[0.9743, 0.9768]","[0.0223, 0.0247]","[0.0006, 0.0011]","[0.0000, 0.0001]","[0.0000, 0.0000]","[0.0000, 0.0000]",,"[0.9999, 1.0000]","[0.9793, 0.9815]","[0.0178, 0.0201]","[0.0004, 0.0008]","[-0.0000, 0.0001]","[0.0000, 0.0000]","[0.0000, 0.0000]",,"[1.0000, 1.0000]","[0.9833, 0.9853]","[0.0145, 0.0165]","[0.0001, 0.0003]","[0.0000, 0.0000]","[0.0000, 0.0000]","[0.0000, 0.0000]",,"[1.0000, 1.0000]","[0.9888, 0.9905]","[0.0094, 0.0111]","[0.0000, 0.0002]","[0.0000, 0.0000]",,"[1.0000, 1.0000]","[0.9900, 0.9916]","[0.0084, 0.0099]","[-0.0000, 0.0001]","[0.0000, 0.0000]",,"[1.0000, 1.0000]","[0.9904, 0.9919]","[0.0080, 0.0096]","[-0.0000, 0.0001]","[0.0000, 0.0000]",,"[1.0000, 1.0000]","[0.9989, 0.9994]","[0.0006, 0.0011]","[0.0000, 0.0000]","[0.0000, 0.0000]",,"[1.0000, 1.0000]","[0.9997, 0.9999]","[0.0001, 0.0003]"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(50,3)",98938,36367,497,0.36404,,38504,62,0,137,44,19041,0,9584,0,4882,0,2290,0,1275,0,601,0,339,0,146,0,93,0,26,0,20,0,2,0,,95771,63668,21243,7351,2672,2319,99,809,3,255,0,101,0,19,0,4,0,2,0,,99172,79882,15253,3291,658,602,5,134,0,9,0,1,0,,99691,85373,12177,1913,260,212,0,16,0,0,0,,99939,91216,7952,723,59,45,0,3,0,,99953,92467,6924,536,46,26,0,,99986,94348,5304,333,13,1,0,,99984,94831,4925,226,15,2,0,,99994,95841,3977,174,6,2,0,,100000,96731,3157,112,0,,100000,96905,3017,77,0,,99999,97372,2586,41,1,,100000,99369,630,1,0,,100000,99714,286
,"[0.9885, 0.9902]","[0.3598, 0.3676]","[0.0044, 0.0055]",,,"[0.3811, 0.3890]","[0.0004, 0.0008]","[0.0000, 0.0000]","[0.0011, 0.0017]","[0.0003, 0.0006]","[0.1872, 0.1936]","[0.0000, 0.0000]","[0.0934, 0.0982]","[0.0000, 0.0000]","[0.0471, 0.0506]","[0.0000, 0.0000]","[0.0217, 0.0241]","[0.0000, 0.0000]","[0.0118, 0.0137]","[0.0000, 0.0000]","[0.0054, 0.0066]","[0.0000, 0.0000]","[0.0029, 0.0039]","[0.0000, 0.0000]","[0.0011, 0.0018]","[0.0000, 0.0000]","[0.0007, 0.0012]","[0.0000, 0.0000]","[0.0001, 0.0004]","[0.0000, 0.0000]","[0.0001, 0.0003]","[0.0000, 0.0000]","[-0.0000, 0.0001]","[0.0000, 0.0000]",,"[0.9561, 0.9593]","[0.6328, 0.6406]","[0.2091, 0.2158]","[0.0714, 0.0756]","[0.0254, 0.0280]","[0.0220, 0.0244]","[0.0007, 0.0012]","[0.0074, 0.0088]","[-0.0000, 0.0001]","[0.0021, 0.0030]","[0.0000, 0.0000]","[0.0008, 0.0013]","[0.0000, 0.0000]","[0.0001, 0.0003]","[0.0000, 0.0000]","[-0.0000, 0.0001]","[0.0000, 0.0000]","[-0.0000, 0.0001]","[0.0000, 0.0000]",,"[0.9910, 0.9925]","[0.7956, 0.8021]","[0.1496, 0.1555]","[0.0315, 0.0344]","[0.0059, 0.0072]","[0.0054, 0.0067]","[-0.0000, 0.0001]","[0.0010, 0.0016]","[0.0000, 0.0000]","[0.0000, 0.0002]","[0.0000, 0.0000]","[-0.0000, 0.0000]","[0.0000, 0.0000]",,"[0.9965, 0.9974]","[0.8509, 0.8566]","[0.1191, 0.1244]","[0.0180, 0.0202]","[0.0022, 0.0030]","[0.0017, 0.0025]","[0.0000, 0.0000]","[0.0001, 0.0003]","[0.0000, 0.0000]","[0.0000, 0.0000]","[0.0000, 0.0000]",,"[0.9992, 0.9996]","[0.9099, 0.9145]","[0.0773, 0.0817]","[0.0065, 0.0079]","[0.0004, 0.0008]","[0.0003, 0.0006]","[0.0000, 0.0000]","[-0.0000, 0.0001]","[0.0000, 0.0000]",,"[0.9994, 0.9997]","[0.9225, 0.9268]","[0.0672, 0.0713]","[0.0048, 0.0060]","[0.0003, 0.0006]","[0.0001, 0.0004]","[0.0000, 0.0000]",,"[0.9998, 1.0000]","[0.9416, 0.9454]","[0.0512, 0.0549]","[0.0029, 0.0038]","[0.0000, 0.0002]","[-0.0000, 0.0000]","[0.0000, 0.0000]",,"[0.9997, 0.9999]","[0.9465, 0.9501]","[0.0475, 0.0510]","[0.0019, 0.0026]","[0.0001, 0.0002]","[-0.0000, 0.0001]","[0.0000, 0.0000]",,"[0.9999, 1.0000]","[0.9568, 0.9600]","[0.0382, 0.0414]","[0.0014, 0.0021]","[-0.0000, 0.0001]","[-0.0000, 0.0001]","[0.0000, 0.0000]",,"[1.0000, 1.0000]","[0.9659, 0.9688]","[0.0301, 0.0330]","[0.0008, 0.0014]","[0.0000, 0.0000]",,"[1.0000, 1.0000]","[0.9676, 0.9705]","[0.0288, 0.0316]","[0.0005, 0.0010]","[0.0000, 0.0000]",,"[1.0000, 1.0000]","[0.9724, 0.9750]","[0.0246, 0.0272]","[0.0002, 0.0006]","[-0.0000, 0.0000]",,"[1.0000, 1.0000]","[0.9930, 0.9943]","[0.0057, 0.0069]","[-0.0000, 0.0000]","[0.0000, 0.0000]",,"[1.0000, 1.0000]","[0.9967, 0.9976]","[0.0024, 0.0033]"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
