"(n,q)",Connected,Rank(K_1),Tor(K_0),Det(I-A)<0,Full Shift,Cuntz polygon,Cuntz algebra
"(∞,q)",m−O(1/n),m(√ (1−ε) + o(1))ⁿ,0.84694,0.50000,0.42347,0.51451,0.43576
"(50,1/4)",99992,5,84631,49833,42205,50742,43553
,"[0.9998, 1.0000]","[-0.0000, 0.0001]","[0.8434, 0.8492]","[0.4943, 0.5024]","[0.4180, 0.4261]","[0.5033, 0.5115]","[0.4315, 0.4396]"
,,,,,,,
"(100,1/4)",100000,0,84706,50051,42377,50437,43309
,"[1.0000, 1.0000]","[0.0000, 0.0000]","[0.8441, 0.8500]","[0.4964, 0.5046]","[0.4197, 0.4278]","[0.5003, 0.5084]","[0.4291, 0.4371]"
,,,,,,,
"(50,1/3)",100000,0,84726,49632,42065,50709,43535
,"[1.0000, 1.0000]","[0.0000, 0.0000]","[0.8443, 0.8502]","[0.4922, 0.5004]","[0.4166, 0.4247]","[0.5030, 0.5112]","[0.4313, 0.4394]"
,,,,,,,
"(100,1/3)",100000,0,84669,49989,42394,50498,43421
,"[1.0000, 1.0000]","[0.0000, 0.0000]","[0.8438, 0.8496]","[0.4958, 0.5040]","[0.4199, 0.4280]","[0.5009, 0.5091]","[0.4302, 0.4382]"
,,,,,,,
"(50,1/2)",100000,0,84794,50112,42478,50588,43616
,"[1.0000, 1.0000]","[0.0000, 0.0000]","[0.8450, 0.8509]","[0.4970, 0.5052]","[0.4208, 0.4288]","[0.5018, 0.5100]","[0.4321, 0.4402]"
,,,,,,,
"(100,1/2)",100000,0,84524,49976,42302,50429,43337
,"[1.0000, 1.0000]","[0.0000, 0.0000]","[0.8423, 0.8482]","[0.4957, 0.5038]","[0.4190, 0.4270]","[0.5002, 0.5084]","[0.4293, 0.4374]"
,,,,,,,
